experiment_id,dataset,unlabeled_pct,cotraining_start,conf_rgb,conf_fft,test_rgb_acc,test_fft_acc,test_combined_acc,rgb_confusion_matrix,fft_confusion_matrix,combined_confusion_matrix,num_classes,final_rgb_size,final_fft_size,unlabeled_used,rgb_pseudo_samples,fft_pseudo_samples,timestamp
small_80_start5_rgb0.95_fft0.9,small_80,80,5,0.95,0.9,0.9173387096774194,0.8217741935483871,0.8951612903225806,"111,1,1,0,11,18,0,616,0,0,0,2,1,1,194,0,12,0,1,0,0,324,0,0,20,20,55,4,706,38,3,8,0,0,9,324","43,25,6,0,43,25,7,554,10,0,42,5,4,23,157,0,24,0,1,1,0,323,0,0,30,64,45,4,657,43,14,6,6,0,14,304","84,13,2,0,24,19,0,614,1,0,3,0,1,8,184,0,15,0,1,0,0,324,0,0,18,41,52,4,691,37,3,4,6,0,8,323",6,6378,6378,6799,5085,5085,2026-03-10 20:14:05
small_80_start5_rgb0.95_fft0.9,small_80,80,5,0.95,0.9,0.9125,0.8040322580645162,0.8705645161290323,"106,0,0,0,9,27,3,608,0,0,4,3,0,0,192,0,15,1,1,0,0,324,0,0,17,14,55,4,694,59,1,0,0,0,4,339","29,38,8,0,24,43,8,578,8,0,21,3,9,27,156,0,12,4,0,0,1,323,0,1,52,79,57,3,598,54,9,13,8,0,4,310","76,18,4,0,18,26,1,608,2,0,5,2,2,19,173,0,13,1,1,0,0,324,0,0,26,56,54,4,650,53,1,6,5,0,4,328",6,6359,6359,6773,5066,5066,2026-05-26 00:01:44
organized_50_start5_rgb0.95_fft0.9,organized_50,50,5,0.95,0.9,0.9375,0.8383064516129032,0.9229838709677419,"121,0,0,0,18,3,1,612,0,0,4,1,0,0,178,0,30,0,1,0,0,319,5,0,15,9,26,2,767,24,2,0,0,0,14,328","72,14,3,0,33,20,10,563,7,0,34,4,5,19,147,0,33,4,2,0,0,323,0,0,53,39,31,3,687,30,25,5,3,0,24,287","113,3,1,0,17,8,3,607,0,0,8,0,1,8,172,0,26,1,2,0,0,323,0,0,20,16,28,3,752,24,3,1,2,0,16,322",6,6963,6963,4304,2748,2748,2026-05-26 01:39:43
large_20_start5_rgb0.95_fft0.9,large_20,20,5,0.95,0.9,0.9387096774193548,0.8411290322580646,0.9209677419354839,"128,0,0,0,13,1,1,614,1,0,2,0,0,0,192,0,16,0,1,0,0,321,3,0,13,9,37,1,766,17,1,2,1,0,33,307","55,11,3,0,56,17,4,567,5,0,41,1,3,20,145,0,40,0,1,0,0,323,1,0,18,44,32,2,721,26,15,9,4,0,41,275","103,3,2,0,26,8,1,609,1,0,7,0,1,7,175,0,25,0,1,0,0,324,0,0,13,18,30,1,763,18,1,5,0,0,28,310",6,7079,7079,1762,335,335,2026-05-26 03:17:48
small_80_start5_rgb0.95_fft0.9,small_80,80,5,0.95,0.9,0.9141129032258064,0.8217741935483871,0.8887096774193548,"115,8,1,0,12,6,0,617,0,0,0,1,0,0,197,0,11,0,0,1,0,323,1,0,25,22,65,3,691,37,1,9,1,0,9,324","72,22,5,0,28,15,14,572,5,1,23,3,16,23,151,0,18,0,1,0,1,323,0,0,65,60,49,4,627,38,24,10,9,0,8,293","96,15,4,0,16,11,0,615,2,0,1,0,2,13,181,0,12,0,0,1,0,324,0,0,29,49,56,4,672,33,11,7,4,0,6,316",6,6377,6377,6797,5084,5084,2026-05-26 08:03:15
organized_50_start5_rgb0.95_fft0.9,organized_50,50,5,0.95,0.9,0.9387096774193548,0.8411290322580646,0.925,"122,0,0,0,18,2,2,612,0,0,2,2,0,0,181,0,27,0,1,0,0,319,5,0,11,9,23,2,779,19,3,0,0,0,26,315","52,12,3,0,43,32,8,564,5,0,39,2,4,19,141,0,39,5,1,0,0,323,1,0,34,39,25,3,700,42,14,5,3,0,16,306","108,4,2,0,20,8,1,611,0,0,6,0,0,10,170,0,27,1,1,0,0,323,1,0,11,17,25,3,763,24,6,3,2,0,14,319",6,6961,6961,4296,2746,2746,2026-05-26 20:18:06
large_20_start5_rgb0.95_fft0.9,large_20,20,5,0.95,0.9,0.9459677419354838,0.8411290322580646,0.9193548387096774,"131,0,0,0,9,2,1,610,0,0,4,3,0,0,170,0,38,0,1,0,0,323,1,0,17,6,15,1,783,21,1,0,0,0,14,329","70,13,11,0,36,12,10,576,12,0,19,1,3,16,167,0,21,1,0,0,1,324,0,0,30,49,58,3,681,22,20,7,14,1,34,268","121,3,2,0,12,4,2,606,3,0,7,0,0,11,169,0,28,0,1,0,0,323,1,0,17,25,34,1,744,22,4,1,4,0,18,317",6,7075,7075,1759,331,331,2026-05-26 21:59:43
small_80_start5_rgb0.95_fft0.9,small_80,80,5,0.95,0.9,0.9181451612903225,0.8024193548387096,0.8975806451612903,"114,4,0,0,9,15,1,615,0,0,1,1,0,0,197,0,11,0,0,0,0,324,1,0,19,12,66,4,702,40,4,3,1,0,11,325","68,30,8,0,24,12,9,577,4,0,27,1,15,31,142,0,18,2,3,0,0,322,0,0,78,82,51,3,594,35,31,13,6,0,7,287","103,12,3,0,10,14,1,613,1,0,3,0,1,5,192,0,10,0,1,0,0,324,0,0,33,31,65,3,674,37,10,5,3,0,6,320",6,5968,5968,6359,4675,4675,2026-05-28 20:29:05
organized_50_start5_rgb0.95_fft0.9,organized_50,50,5,0.95,0.9,0.9403225806451613,0.8278225806451613,0.9330645161290323,"126,0,0,0,15,1,1,613,0,0,4,0,0,0,184,0,24,0,1,0,0,323,1,0,17,11,30,2,763,20,3,1,0,0,17,323","50,19,4,0,46,23,8,544,9,0,53,4,2,20,135,0,49,2,1,0,0,322,2,0,38,30,25,7,718,25,19,5,5,0,31,284","123,1,0,0,15,3,1,611,0,0,6,0,0,1,179,0,28,0,1,0,0,324,0,0,18,14,27,4,758,22,2,4,2,0,17,319",6,6647,6647,3983,2432,2432,2026-05-28 22:44:52
